Account_ID,Customer_ID,Account_Type,Account_Balance,Account_Status
1,5625,Current,789309,ACTIVE
2,6720,Current,639617,Inactive
3,3011,Business,121219,active
4,4246,Business,152766,active
5,9801,Savings,485028,Active
6,3119,Savings,1320796,active
7,362,Business,1371935,Active
8,1717,Business,1009034,ACTIVE
9,2422,Business,815303,active
10,4191,Savings,1016176,active
11,7269,Business,1032550,ACTIVE
12,3462,Savings,450045,ACTIVE
13,3982,Current,850149,Inactive
14,4729,Current,236175,ACTIVE
15,2051,Savings,455730,Active
16,4260,Savings,582905,Active
17,4713,Savings,13961,active
18,9561,Savings,275918,active
19,8028,Salary,746553,ACTIVE
20,4262,Current,919969,Active
21,6204,Current,81312,ACTIVE
22,5865,Salary,1307407,ACTIVE
23,6526,Business,371504,Active
24,8853,Savings,1369524,active
25,5243,Savings,769673,active
26,4563,Business,-5163,active
27,7457,Current,1443533,active
28,8708,Salary,1023968,Inactive
29,6381,Savings,881275,Inactive
30,8912,Current,571091,active
31,8364,Current,246937,Active
32,1470,Current,378918,Active
33,1174,Salary,143782,ACTIVE
34,4667,Salary,1251144,Inactive
35,4901,Salary,836087,active
36,1175,Salary,311212,active
37,3745,Salary,33034,Active
38,4209,Salary,998890,ACTIVE
39,4032,Business,1495227,Active
40,6632,Current,61807,Inactive
41,7102,Current,427663,Active
42,9590,Business,324242,active
43,4022,Savings,397183,Active
44,8890,Business,288403,Active
45,1775,Savings,973863,active
46,5367,Savings,688013,Inactive
47,3474,Business,544212,Inactive
48,4064,Business,750351,Inactive
49,8124,Salary,615742,Inactive
50,6269,Business,412676,active
51,4609,Salary,1434919,Inactive
52,2681,Business,199973,active
53,6745,Business,1488525,active
54,3604,Savings,849608,Active
55,3345,Business,364291,Active
56,9622,Savings,64880,active
57,5914,Salary,1323577,Active
58,8219,Business,692097,Active
59,3772,Salary,454611,ACTIVE
60,9634,Business,1490600,ACTIVE
61,6743,Business,596010,ACTIVE
62,8759,Current,1234031,Inactive
63,8439,Business,143589,Active
64,1524,Savings,243068,Inactive
65,2365,Salary,284687,active
66,7602,Current,86253,Inactive
67,5353,Current,1339629,Active
68,5055,Salary,395973,ACTIVE
69,6926,Salary,217909,Inactive
70,3966,Current,1409424,Active
71,3693,Business,802480,ACTIVE
72,5082,Current,132724,active
73,1774,Business,973921,active
74,2938,Salary,1421514,active
75,3891,Business,1467131,Inactive
76,7537,Business,165592,active
77,7336,Business,1038944,Inactive
78,1092,Savings,1400940,Inactive
79,8120,Business,19708,Inactive
80,6107,Savings,797587,Inactive
81,8939,Business,404905,ACTIVE
82,9767,Business,1097377,ACTIVE
83,4441,Savings,1213289,Inactive
84,3602,Business,157602,ACTIVE
85,3517,Business,1430387,Active
86,2853,Savings,1443073,ACTIVE
87,592,Savings,1461963,active
88,693,Savings,1269678,Inactive
89,1164,Savings,1200410,ACTIVE
90,8601,Business,878057,ACTIVE
91,2383,Business,1453498,Inactive
92,5401,Salary,1337524,Inactive
93,8597,Business,211372,Active
94,5843,Current,924734,Active
95,5976,Current,612864,Inactive
96,4743,Current,250785,Inactive
97,1484,Business,466084,Active
98,5159,Current,355657,Active
99,9057,Business,348950,ACTIVE
100,1585,Savings,1297767,ACTIVE
101,8409,Business,43814,active
102,7414,Salary,636408,active
103,743,Business,535982,Active
104,4514,Current,17298,Inactive
105,9056,Savings,1178698,Inactive
106,3983,Savings,925668,ACTIVE
107,2856,Savings,266943,active
108,4047,Salary,1016875,ACTIVE
109,3685,Salary,118725,Inactive
110,8642,Salary,1140041,ACTIVE
111,1116,Current,1010262,ACTIVE
112,2838,Current,629355,ACTIVE
113,3429,Salary,136099,Active
114,7045,Business,964816,active
115,2194,Salary,338775,ACTIVE
116,3339,Salary,1317673,ACTIVE
117,2167,Salary,1191355,ACTIVE
118,1527,Savings,349888,active
119,8456,Current,924232,Inactive
120,9492,Savings,1002380,Active
121,3419,Business,485545,Active
122,2713,Business,198297,ACTIVE
123,787,Current,1231627,Inactive
124,4989,Business,934338,Inactive
125,236,Savings,943320,Inactive
126,3335,Savings,1073657,Inactive
127,1075,Savings,677370,ACTIVE
128,744,Business,855225,Active
129,1006,Salary,1294829,active
130,8205,Savings,85419,ACTIVE
131,7025,Savings,645389,active
132,1851,Salary,1451552,Active
133,4902,Salary,1395894,ACTIVE
134,3604,Current,1271476,ACTIVE
135,2261,Business,776107,Inactive
136,9176,Savings,674819,active
137,7815,Current,1310927,active
138,9955,Business,1057706,active
139,1289,Current,843899,Inactive
140,9209,Business,510221,Inactive
141,2154,Savings,215440,Inactive
142,4583,Current,1913,Inactive
143,4500,Business,143946,ACTIVE
144,4486,Business,800561,Active
145,608,Business,859563,Active
146,4045,Salary,337684,Active
147,7144,Business,1336009,active
148,2837,Salary,1171553,active
149,8902,Savings,1279694,Active
150,767,Current,379628,ACTIVE
151,3599,Savings,194827,Inactive
152,92,Salary,684925,Active
153,100,Savings,1251194,active
154,8878,Salary,979084,active
